YEAR,MO,DY,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS10M
2010,4,24,27.64,30.03,79.38,8.1,1.93
2010,4,25,26.45,34.76,68.62,0.16,2.58
2010,4,26,27.09,34.86,69.5,1.49,2.84
2010,4,27,26.98,32.81,73.38,1.29,2.62
2010,4,28,27.27,32.97,70.75,1.02,2.4
2010,4,29,27.33,34.56,68.25,1.66,3.32
2010,4,30,27.31,34.78,69.94,4.3,3.3
2010,5,1,27.51,34.35,70.94,8.3,1.88
2010,5,2,27.09,33.99,72.5,1.55,2.27
2010,5,3,27.5,33.05,75,4.39,2.88
2010,5,4,27.51,33.69,72.56,0.87,3.63
2010,5,5,27.65,32.66,74.38,0.77,3.62
2010,5,6,28.2,32.56,75.69,1.98,2.72
2010,5,7,27.87,35.6,69.88,0.76,3.38
2010,5,8,27.65,37.4,63,0.05,3.73
2010,5,9,28.92,35.73,64.12,0.09,3.73
2010,5,10,28.77,32.49,77.25,4.46,3.06
2010,5,11,28.19,32.24,79.5,3.59,3.1
2010,5,12,27.65,31.01,81.31,12.87,1.79
2010,5,13,27.37,32.95,76.62,1.17,2.47
2010,5,14,28.01,33.19,76.44,0.31,2.95
2010,5,15,28.12,32.02,76.56,1.11,3.13
2010,5,16,27.59,32.3,76.69,2.44,2.62
2010,5,17,27.85,32.74,79.5,4.4,2.58
2010,5,18,27.78,30.99,82.25,5.43,2.22
2010,5,19,27.21,34.76,72,0.55,2.99
2010,5,20,27.58,35.37,69.19,0.52,3.58
2010,5,21,27.96,33.07,76.19,3.9,3.66
2010,5,22,27.64,32.73,76.31,7.72,3.95
2010,5,23,27.08,32.1,78,10.8,3.71
2010,5,24,26.61,32.31,77.44,7.79,3.54
2010,5,25,26.83,31.55,78.19,24.29,4.28
2010,5,26,26.37,30.83,80.44,15.33,5.51
2010,5,27,26.13,29.4,82.06,2.49,4.64
2010,5,28,26.91,31.47,80.19,16.78,4.65
2010,5,29,26.73,30.03,84.5,13.23,3.91
2010,5,30,26.9,30.83,80.75,2.23,3.6
2010,5,31,27.19,31.05,82.75,1.19,3.75
2010,6,1,27.15,32.52,79.5,1.81,3.59
2010,6,2,27.32,32.01,81.44,3.61,3.66
2010,6,3,27.01,31.14,81.12,2.53,3.06
2010,6,4,27.33,31.37,81.44,8.67,2.92
2010,6,5,27,31.98,79.31,5.53,3.14
2010,6,6,26.88,30.06,83.19,1.48,3.88
2010,6,7,26.92,29.37,86.31,5.61,4.04
2010,6,8,26.48,30.48,82.88,16.64,3.93
2010,6,9,26.55,28.92,89.06,20.9,3.37
2010,6,10,25.9,29.69,84.81,5.55,3.72
2010,6,11,26.57,30.69,83.44,8.63,2.98
2010,6,12,26.35,31.49,79.38,1.13,2.07
2010,6,13,26.74,30.75,80.31,3.99,2.49
2010,6,14,26.8,30.19,84.94,10.19,2.66
2010,6,15,26.64,29.94,82.69,4.22,3.05
2010,6,16,26.19,30.38,83.31,3.22,3.31
2010,6,17,25.65,29.99,84.81,3.47,4.15
2010,6,18,26.48,29.66,82.81,2.19,3.98
2010,6,19,26.18,28.68,87.31,8.25,4.3
2010,6,20,26.24,30.06,85.06,3.16,3.77
2010,6,21,26.03,30.01,82.69,10.3,2.62
2010,6,22,26.53,28.47,89.88,22.28,4.4
2010,6,23,26.9,28.91,86.56,8.03,5.82
2010,6,24,26.68,29.69,85.5,2.72,4.39
2010,6,25,25.95,30.23,85.19,10.64,3.65
2010,6,26,26.4,29.98,86.44,9.1,3.34
2010,6,27,26.41,29.48,86.56,16.07,3.52
2010,6,28,25.47,29.29,87,18.53,3.82
2010,6,29,25.19,29.15,84.81,7.4,3.1
2010,6,30,25.91,30.01,84.56,2.09,3.49
2010,7,1,26.02,29.36,87.56,8.14,4.73
2010,7,2,25.27,27.72,89.44,16.03,3.72
2010,7,3,25.08,28.16,88.94,9.18,3.56
2010,7,4,25.13,29.83,86.12,7.31,3.56
2010,7,5,24.98,29.44,85.62,2.6,2.74
2010,7,6,26.1,29.7,85.25,4.28,3.3
2010,7,7,25.95,30.5,83.25,1.64,2.27
2010,7,8,26.09,30.51,82.19,2.63,2.44
2010,7,9,26.58,30.47,77.75,2.62,2.65
2010,7,10,26.12,30.83,81.81,0.75,3.16
2010,7,11,26.37,29.28,84.44,12.17,2.35
2010,7,12,26.19,29.6,85.25,9.8,3.11
2010,7,13,26.18,28.65,86.75,8.73,2.45
2010,7,14,26.06,29.98,86.19,7.9,2.05
2010,7,15,25.63,29.87,85.56,6.58,2.8
2010,7,16,25.08,29.63,86.31,5.66,3.03
2010,7,17,26.11,28.88,87.69,21.24,3.8
2010,7,18,25.9,28.52,90.12,14.67,3.98
2010,7,19,25.72,28.49,88.62,4.03,3.8
2010,7,20,25.97,30.44,83.69,1.31,2.61
2010,7,21,26.19,30.28,83,0.71,2.81
2010,7,22,26.62,29.45,85.94,2.52,3.28
2010,7,23,25.9,28.02,87.19,9.51,4.79
2010,7,24,25.17,29.65,82.31,0.99,4.38
2010,7,25,24.65,29.75,84,4.46,4.9
2010,7,26,24.69,27.98,86.25,26.9,3.65
2010,7,27,25.33,28.46,89.06,25.58,5.05
2010,7,28,25.83,28.97,86.62,6.27,4.69
2010,7,29,25.9,28.73,87.88,7.84,4.31
2010,7,30,25.46,28.72,85.19,14.55,3.49
2010,7,31,25.65,29.6,85.56,8.87,3.02
2010,8,1,26,28.1,87.38,26.12,3.18
2010,8,2,25.28,28.59,88.31,41.66,2.83
2010,8,3,25.6,27.89,89.56,11.68,4.89
2010,8,4,25.26,27.9,88.75,7.12,3.76
2010,8,5,25.1,28.77,85.69,6.59,4.23
2010,8,6,24.75,28.48,86.56,24.54,3.3
2010,8,7,24.84,27.83,87.88,10.92,5.16
2010,8,8,24.44,28.33,85.44,2.46,4.41
2010,8,9,24.72,29.37,84.44,2.35,4.7
2010,8,10,25.19,29.69,82.69,13.01,4.34
2010,8,11,25.43,29.22,86.88,13.75,3.37
2010,8,12,25.95,28.65,89.19,27.24,3.03
2010,8,13,25.36,28.6,87.06,40.86,2.35
2010,8,14,25.16,28.34,87.94,12.17,2.12
2010,8,15,25.48,29.65,84.75,3.09,2.36
2010,8,16,25.51,29.44,86.69,1.37,2.18
2010,8,17,25.64,29.32,87.06,6.03,2.16
2010,8,18,25.14,29.71,85.56,18.54,1.74
2010,8,19,25.79,30.02,84.5,4.4,1.78
2010,8,20,25.64,29.82,83.38,15.5,1.09
2010,8,21,24.92,27.85,88.5,14.14,2.95
2010,8,22,24.72,28.6,87.06,9.65,3.14
2010,8,23,25.28,28.42,88.31,11.53,3.23
2010,8,24,24.54,26.89,87,15.52,4.4
2010,8,25,24.69,28.94,84.88,7.94,3.74
2010,8,26,25.05,29.97,85.31,4.15,3.3
2010,8,27,25.57,29.12,87.62,3.83,2.97
2010,8,28,25.45,28.04,88,13.5,3.9
2010,8,29,24.49,27.85,85.25,7.33,4.49
2010,8,30,24.28,29.1,84.44,1.41,3.7
2010,8,31,25.2,29.46,86.12,2.12,3.62
2010,9,1,24.87,29.58,86.25,5.59,3.15
2010,9,2,24.53,29.87,85.25,16.92,2.88
2010,9,3,25.16,28.58,88.5,14.87,3.02
2010,9,4,24.84,27.56,89.44,9.26,3.88
2010,9,5,24.65,29.06,86.75,3.86,3.64
2010,9,6,24.83,27.91,88.62,7.05,3.48
2010,9,7,24.78,28.99,84.25,1.48,3.02
2010,9,8,25.69,29.58,84.38,2.55,2.71
2010,9,9,25.62,28.56,87.5,1.47,3.09
2010,9,10,25.58,28.8,88.12,32.19,3.24
2010,9,11,25.55,28.03,88.19,11.22,3.38
2010,9,12,25.28,28.62,88.19,4.06,2.66
2010,9,13,25.11,29.1,85.94,9.47,2.98
2010,9,14,25.23,28.24,86.31,18.14,2.59
2010,9,15,24.96,27.36,88.44,4.28,2.49
2010,9,16,24.87,29.35,83.94,4.01,1.41
2010,9,17,25.01,29.3,85.81,18.28,1.41
2010,9,18,25.37,28.48,87.5,1.48,1.64
2010,9,19,25.01,29.78,82.88,4.16,1.64
2010,9,20,25.17,30.55,83.69,0.8,2.33
2010,9,21,25.95,28.9,85.69,3.09,2.23
2010,9,22,25.8,29.2,87.88,4.05,2.59
2010,9,23,25.5,30.21,84.19,3.78,2.1
2010,9,24,25.55,29.57,86,1.05,2.02
2010,9,25,25.76,30.26,82.62,2.81,1.67
2010,9,26,26.01,30.15,79.56,1.77,1.2
2010,9,27,26.23,29.58,85.5,6.6,1.17
2010,9,28,24.98,29.62,84.62,4.8,1.52
2010,9,29,25.63,29.53,83.62,10.62,1.37
2010,9,30,24.48,28.89,89.5,7.98,2.8
2010,10,1,24.99,29.33,88.56,14.99,3.14
2010,10,2,24.19,29.27,89.5,17.47,2.32
2010,10,3,25.44,29.62,87.5,14.29,1.69
2010,10,4,25.11,27.32,90,15.5,2.05
2010,10,5,23.72,29.68,82.25,5.31,1.62
2010,10,6,24.08,30.32,84.31,1.72,1.95
2010,10,7,25.05,29.16,83.94,4.17,1.82
2010,10,8,24.85,30.3,84.06,0.53,2.48
2010,10,9,25.35,29.59,85.88,1.64,3.16
2010,10,10,25.37,27.85,89.69,8.58,4.63
2010,10,11,24.67,27.08,90.5,20.87,4.38
2010,10,12,24.65,26.58,91.94,13.94,5.55
2010,10,13,24.15,28.26,88.75,10.58,3.12
2010,10,14,24.44,27.5,87.75,26.81,3.18
2010,10,15,23.82,26.01,89.81,18.13,4.23
2010,10,16,22.51,27.98,89.06,22.23,4.34
2010,10,17,24.34,27.41,90.19,19.43,4.09
2010,10,18,23.96,28.45,85,6.05,3.97
2010,10,19,24.52,29.26,83.75,1.74,2.57
2010,10,20,25.16,27.95,89.12,2.91,2.8
2010,10,21,24.71,28.81,85.38,14.24,1.62
2010,10,22,23.62,27.19,83.94,4.24,1.61
2010,10,23,24.69,27.05,86.88,0.97,2.62
2010,10,24,24.18,29.55,82.06,0.75,2.83
2010,10,25,24.96,31.14,82.38,2.13,1.76
2010,10,26,25.51,28.26,89.06,6.85,1.25
2010,10,27,24.73,29.01,87.94,6.52,3.17
2010,10,28,22.37,28.13,87.62,3.72,5.24
2010,10,29,21.66,26.73,85.25,0.08,6.13
2010,10,30,18.85,25.65,84.81,0.01,6.77
2010,10,31,18.93,24.44,84.88,0.34,5.55
2010,11,1,19.65,26.35,85.44,0.06,5.7
2010,11,2,20.89,27.89,86.94,0.07,6.09
2010,11,3,21.13,26.3,87.12,0.02,5.8
2010,11,4,19.69,26.18,83.88,0.01,5.73
2010,11,5,19.88,26.12,85.5,0,4.85
2010,11,6,20.74,27.4,84.56,0.01,4.36
2010,11,7,21.82,24.74,89.62,0.11,4.18
2010,11,8,21.69,27.93,86.31,0.11,4.11
2010,11,9,21.55,27.34,85.44,0.08,5.17
2010,11,10,20.98,27.05,85.88,0.01,4.38
2010,11,11,21.75,25.48,87.31,0.35,3.66
2010,11,12,21.6,25.2,87.88,0.04,3.65
2010,11,13,21.44,29.03,83.62,0.08,3.44
2010,11,14,22.37,29.66,86.31,0.06,3.55
2010,11,15,22.73,29.72,86.62,0.5,4.12
2010,11,16,23.22,27.08,89.56,4.76,3.51
2010,11,17,22.62,29.06,87.56,1.68,3.66
2010,11,18,23.26,28.2,89.31,2.25,4.1
2010,11,19,23.34,26.55,90.19,1.64,2.88
2010,11,20,22.46,28.96,80.5,0.73,2.66
2010,11,21,22.52,30.23,77.44,0.1,1.49
2010,11,22,23.08,30.46,77.62,0.02,1.82
2010,11,23,22.69,29.78,84.69,0.12,3.08
2010,11,24,23.46,29.61,84.38,0.12,2.77
2010,11,25,22.38,30.12,82.44,0.09,3.28
2010,11,26,22.31,28.91,84.62,0,3.72
2010,11,27,21.36,29.35,83.88,0,3.65
2010,11,28,22.97,29.53,83.38,0,3.78
2010,11,29,22.33,29.5,86.25,0.25,3.93
2010,11,30,23.4,28.47,87,0.32,3.82
2010,12,1,22.39,28.08,85.94,0.16,3.97
2010,12,2,22.65,27.67,85.31,0,4.55
2010,12,3,21.51,28.36,82.06,0,5.25
2010,12,4,20.8,28.8,81.81,0,4.77
2010,12,5,21.02,29.83,83.38,0.05,3.62
2010,12,6,23.14,29.15,86.69,1.17,3.77
2010,12,7,23.57,27.98,88.62,1.2,4.23
2010,12,8,20.26,28.05,80.12,0.01,4.86
2010,12,9,19.46,28.44,76.19,0,3.15
2010,12,10,21.19,29.14,81.19,0,2.14
2010,12,11,23.69,28.86,84.06,0,2.66
2010,12,12,23.75,29.33,85.25,0.25,3.66
2010,12,13,23.53,29.23,87.31,0.41,3.24
2010,12,14,23.19,30.02,84.94,0.07,2.26
2010,12,15,24.62,29.96,82.31,1.93,1.59
2010,12,16,20.49,29.89,82.25,3.98,2.2
2010,12,17,16.46,24.37,76,0.23,5.55
2010,12,18,17.69,26.6,77.06,0.01,3.84
2010,12,19,19.25,26.87,79,0,3.76
2010,12,20,20.56,29.53,77.75,0,3.03
2010,12,21,21.15,30.14,76.94,0,2.2
2010,12,22,22.33,30.22,78.56,0.02,2.3
2010,12,23,23.83,28.98,80.81,0.12,1.38
2010,12,24,23.7,29.88,77.5,0.02,1.34
2010,12,25,23.58,30.23,76.25,2.12,1.74
2010,12,26,20.72,28.16,74.44,0.1,5.12
2010,12,27,17.29,27.8,74.5,0,5.21
2010,12,28,17.84,28.46,74.81,0,3.79
2010,12,29,18.49,28.88,73,0,3.79
2010,12,30,18.92,29.45,72.44,0,3.84
2010,12,31,18.7,28.35,71.81,0,4.8
2011,1,1,17.48,29.05,71.38,0,3.62
2011,1,2,18.9,30.03,71,0,2.95
2011,1,3,20.07,30.63,72.5,0,3.36
2011,1,4,20.19,30.99,73.12,0,3.69
2011,1,5,20.88,30.73,71.56,0.03,3.23
2011,1,6,22.29,30.92,73.06,0.19,3.63
2011,1,7,20.1,27.19,68.5,0.03,5.32
2011,1,8,18.5,29.62,69.81,0,4.42
2011,1,9,19.42,30.28,69.94,0,4.1
2011,1,10,19.26,29.65,66.69,0,3.81
2011,1,11,19.55,29.58,66.25,0.01,2.27
2011,1,12,19.83,29.55,67.31,0.05,3.13
2011,1,13,19.12,30.33,64.38,0,3.05
2011,1,14,19.1,30.7,64.31,0,2.59
2011,1,15,19.45,28.64,67.12,0,4.37
2011,1,16,16.54,28.18,64.56,0,5.01
2011,1,17,17.01,29.05,62.56,0,4.34
2011,1,18,17.89,29.56,62.69,0,3.28
2011,1,19,18.58,31.02,58.75,0,1.84
2011,1,20,19.48,31.51,56.81,0,1.86
2011,1,21,18.81,32.27,58.56,0,2.64
2011,1,22,20.17,30.75,63.25,0,3.3
2011,1,23,21.39,32.12,64.88,0,2.66
2011,1,24,22.93,32.01,64.88,0.05,3.08
2011,1,25,21.43,31.78,62.44,0.02,4.09
2011,1,26,20.91,32.82,62.25,0,4.4
2011,1,27,22.16,32.84,62.12,0,3.86
2011,1,28,22.89,32.61,61,0.02,4.05
2011,1,29,20.6,30.78,58.38,0.01,5.66
2011,1,30,18.47,31.19,57.38,0,5.69
2011,1,31,18.23,30.93,58.62,0,5.36
2011,2,1,19.43,31.98,59.38,0,4.11
2011,2,2,20.03,31.71,59.06,0.01,4.24
2011,2,3,20.47,32.45,57.88,0.01,3.4
2011,2,4,21.3,32.99,57,0,2.23
2011,2,5,22.67,33.12,61.38,0.01,2.23
2011,2,6,23.5,32.55,68.19,0.02,2.35
2011,2,7,23.41,31.74,70.88,0.03,3.17
2011,2,8,23.26,31.67,72.31,0.5,3.68
2011,2,9,22.4,31.79,75.88,0,3.6
2011,2,10,22.83,32.33,73.38,0,3.45
2011,2,11,23.75,33.61,67.38,0,2.62
2011,2,12,24.58,32,72.19,0.04,4.17
2011,2,13,24.08,31.65,73.81,0.19,3.89
2011,2,14,24,31.4,77.31,1.04,3.14
2011,2,15,23.48,28.55,80.25,12.65,2.59
2011,2,16,24.02,32.87,68.81,0.57,1.86
2011,2,17,24.53,32.9,71.44,0.04,2.86
2011,2,18,24.62,32.33,74.38,0.09,3.7
2011,2,19,24.38,33.65,70.5,0.05,3.32
2011,2,20,25.32,33.26,71.44,0.24,3.14
2011,2,21,25.8,30.26,75.88,1.51,3.55
2011,2,22,24.78,31.18,75.12,2.36,2.69
2011,2,23,24.42,28.51,82.31,4.79,3.45
2011,2,24,24.15,30.5,77.69,2.67,2.89
2011,2,25,24.32,31.2,77.25,1.29,2.83
2011,2,26,24.73,29.67,81.44,2.31,3.2
2011,2,27,24.76,31.54,78.44,6.54,2.32
2011,2,28,24.6,32.93,72.56,1.02,2.81
2011,3,1,25.19,32.65,71.5,0.07,3.59
2011,3,2,25.52,32.68,67.81,0.41,2.43
2011,3,3,25.48,31.28,75,9.92,1.79
2011,3,4,25.41,31.44,74.5,11.18,1.4
2011,3,5,24.76,34.76,67.88,0.01,2.33
2011,3,6,25.92,33.22,70.88,0.04,2.39
2011,3,7,25.37,33.24,73.75,0.13,2.88
2011,3,8,25.08,28.62,86.12,11.88,3.09
2011,3,9,23.21,31.86,73.62,4.83,2.56
2011,3,10,24.97,33.2,68.38,0.65,2.78
2011,3,11,24.36,34.71,62.94,0.06,3.35
2011,3,12,25.68,33.49,68.5,0.13,2.14
2011,3,13,25.2,31.97,73.31,0.41,2.31
2011,3,14,25.26,32.1,76,9.89,2.15
2011,3,15,25.18,30.9,74.75,10.24,1.52
2011,3,16,20.3,27.63,74.25,4.42,5.41
2011,3,17,17.53,22.47,76,2.02,5.48
2011,3,18,18.4,29.12,66,0,3.77
2011,3,19,21.51,32.86,64.19,0,2.43
2011,3,20,24.86,33.12,66.06,0.01,2.42
2011,3,21,25.19,31.33,74.69,0.45,2.94
2011,3,22,25.37,30.44,80.69,11.77,2.08
2011,3,23,22.76,27.01,86.44,32.28,2.85
2011,3,24,22.71,31.37,73.81,0.66,3.58
2011,3,25,22.66,30.69,71.5,2.87,4.28
2011,3,26,21.78,30.16,66.5,0.16,4.69
2011,3,27,21.79,30.37,64.5,0.51,5.03
2011,3,28,19.73,28.38,64.69,1.3,6.05
2011,3,29,19.03,29.23,63.31,0.69,6.38
2011,3,30,18.65,29.03,68.25,0.26,5.19
2011,3,31,20.12,32.21,65.81,0.02,4.19
2011,4,1,22.95,33.73,65.19,0,2.48
2011,4,2,25.69,33.05,68.25,0.13,2.16
2011,4,3,25.83,30.01,74.75,0.28,2.23
2011,4,4,25.26,31.23,77.06,0.43,2.9
2011,4,5,25.01,30.88,81.12,5.26,2.51
2011,4,6,24.98,30.79,80.81,1.48,3.02
2011,4,7,24.37,31.01,79.06,0.26,3.08
2011,4,8,24.6,32.68,76.25,4.84,2.37
2011,4,9,24.5,31.87,77.94,7.07,1.68
2011,4,10,24.69,32.04,77.31,2.05,2.09
2011,4,11,24.72,33.41,71.56,1.46,2.06
2011,4,12,25.02,31.28,77.44,2.88,3.06
2011,4,13,24.62,30.79,76.69,1.68,3.06
2011,4,14,24.5,32.49,71.38,0.1,2.77
2011,4,15,24.94,33.74,69.44,0,3
2011,4,16,24.87,34.64,70.31,0.01,3.49
2011,4,17,26,32.05,76.31,0.15,3.66
2011,4,18,25.72,31.23,79.56,0.34,3.46
2011,4,19,24.93,30.06,83.62,16.44,3.15
2011,4,20,23.67,33.66,73.94,6.33,2.64
2011,4,21,26.01,30.72,80.12,1.84,2.76
2011,4,22,25.73,31.21,80,0.94,2.88
2011,4,23,25.9,30.36,82.75,13.64,2.23
2011,4,24,25.48,29.81,82,25.06,2.77
2011,4,25,25.36,29.08,83.06,9.43,1.54
2011,4,26,25.87,31.51,77.69,0.61,1.66
2011,4,27,25.01,31.22,78.69,0.21,2.2
2011,4,28,26.44,32.8,75.31,0.92,2.41
2011,4,29,26.24,31.51,78.88,5.11,2.34
2011,4,30,25.76,29.77,84.75,2.34,2.45
2011,5,1,26.07,29.3,82.38,2.82,1.52
2011,5,2,25.54,33,75.75,0.68,2.17
2011,5,3,26.25,30.79,80.88,1.38,2.57
2011,5,4,26.33,32.37,79.44,1.62,3.07
2011,5,5,26.63,31.14,79.75,2.18,2.4
2011,5,6,26.55,29.92,81.44,1.21,3.45
2011,5,7,26.44,30.57,80.75,2.09,3.83
2011,5,8,26.7,29.19,85.62,4.96,5.09
2011,5,9,26.55,29.8,84.38,4.52,6.11
2011,5,10,25.75,29.55,84.75,1.44,4.97
2011,5,11,26.17,30.07,81,0.63,3.56
2011,5,12,25.83,29.98,79.5,1.22,2.81
2011,5,13,25.95,29.98,81.88,4.78,1.93
2011,5,14,25.41,28.67,86.81,6.69,3.57
2011,5,15,25.08,30.8,80.38,2.92,3.4
2011,5,16,25.8,31.47,79.31,1.07,3.31
2011,5,17,25.79,32.61,77.69,8.22,2.26
2011,5,18,26.22,28.78,85.25,18.15,2.1
2011,5,19,26.07,30.51,82.19,8.3,3.35
2011,5,20,26.09,31.69,76.88,0.73,3.29
2011,5,21,26.22,31.83,77.06,1.56,3.58
2011,5,22,26.26,32.86,74.31,1.46,3.44
2011,5,23,26.79,32.19,76.44,0.19,3.2
2011,5,24,27.07,30.42,81,6.54,2.61
2011,5,25,26.26,29.87,84.81,10.59,1.98
2011,5,26,25.85,30.62,80.25,6.08,1.44
2011,5,27,26.67,30.41,80.75,8.96,2.05
2011,5,28,25.27,31.95,75.38,4.69,3.14
2011,5,29,25.83,32.09,74.38,3.23,3.59
2011,5,30,26.74,30.01,83.44,7.71,3.3
2011,5,31,26.02,30.61,80.44,7.88,3.66
2011,6,1,26.27,29.26,84.25,4.37,2.97
2011,6,2,26.4,29.8,85.44,6.61,2.58
2011,6,3,26.37,29.38,86.19,9.19,2.98
2011,6,4,26.4,31.05,84.31,4.1,3.12
2011,6,5,26.62,29.66,88.94,12.63,3.58
2011,6,6,26.45,29.42,86.62,29.13,2.73
2011,6,7,26.26,29.06,86.12,12.51,2.92
